Nombre;Nombre Largo;CAEDED;Descripcion
ETZEL RA S.R.L.;ETZEL RA S.R.L.;51507;VTA X MAYOR EQUIPOS COMUNICACIONES,CONTR
CYLCONST S.R.L.;CYLCONST S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
DISPROMAS DISTRIBUCION & LOGISTICA DE RA;DISPROMAS DISTRIBUCION & LOGISTICA DE RASLAN ABUAWAD OMAR FABIAN;51229;VTA X MAYOR PROD. ALIMENTICIOS NCP
BOLGRAFICA GROUP S.R.L.;BOLGRAFICA GROUP S.R.L.;74960;SERV FOTOCOPIAS,IMPRESIÓN HELIOGRÁFICA Y
AZCONSTALL DE MARIO AZERO ESCALERA;AZCONSTALL DE MARIO AZERO ESCALERA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
BOLIVIA AMBIENTAL S.R.L.;BOLIVIA AMBIENTAL S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
CAPITAL SAFI S.A. SEMBRAR EXPORTADOR FIC;CAPITAL SAFI S.A. SEMBRAR EXPORTADOR FONDO DE INVERSION CERRADO;67120;SERV BURSÁTILES DE MEDIACIÓN O X CTA 3ER
TRUCKS ASIEL S.R.L.;TRUCKS ASIEL S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
JOSE LUIS TIRADO ENCINAS DE JOSE LUIS;JOSE LUIS TIRADO ENCINAS DE JOSE LUIS TIRADO ENCINAS;55201;SERV EXPENDIO COMIDAS C/SERVICIO MESA Y/
LASER STUDIO SRL;LASER STUDIO SRL;93020;SERV PELUQUERÍA Y TRATAMIENTOS DE BELLEZ
NEXT TELECOMMUNICATIONS SRL;NEXT TELECOMMUNICATIONS SRL;45305;INSTALACIONES ESTACIONES TELECOM Y RADAR
PROGESEC SOLUCIONES LTDA;PROGESEC SOLUCIONES LTDA;51104;VTA X MAYOR INTERMDRS PROD.TEXTILES,PREN
LUDOSBOL JUEGOS S.A.;LUDOSBOL JUEGOS S.A.;0;
SISMOARQUITECTOS S.R.L.;EMPRESA CONSTRUCTORA Y CONSULTORA SIMOARQUITECTOS S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
BPLUS S.R.L.;BPLUS S.R.L.;14290;EXPLOTACION DE OTRAS MINAS Y CANTERAS NC
CORAAME S.R.L.;CORAAME S.R.L.;55201;SERV EXPENDIO COMIDAS C/SERVICIO MESA Y/
SMARTTHINKING SOFTWARE FACTORY S.R.L.;SMARTTHINKING SOFTWARE FACTORY S.R.L.;72200;SERV CONSULTORES INFORMÁTICA Y SUMINISTR
A.I.D.U.C. EMPRESA CONSULTORA Y CONSTRUC;AIDUC EMPRESA CONSULTORA Y CONSTRUCTORA;0;
NAVIARTE S.R.L;NAVIARTE S.R.L;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
TORREZ & HUANSBER ASOCIADOS SRL;TORREZ & HUANSBER ASOCIADOS SRL;74120;"SERV CONTABILIDAD Y AUDITORÍA; ASESORAMI"
CONSULTORA CONTABLE D & J SRL;CONSULTORA CONTABLE D & J SRL;74120;"SERV CONTABILIDAD Y AUDITORÍA; ASESORAMI"
INDUTECH MEDICAL S.R.L.;INDUTECH MEDICAL S.R.L.;0;
EMPRESA CONSTRUCTORA E INGENIERIA ALFRED;EMPRESA CONSTRUCTORA E INGENIERIA ALFRED & CADENA S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
BOLICRUZ S.R.L.;BOLICRUZ S.R.L.;51504;VTA X MAYOR EQUIPOS CONSTRUCCIÓN E ING C
DICOSUCRE DE CORDOVA VELASCO NELSON FELI;DICOSUCRE DE CORDOVA VELASCO  NELSON FELIX;51900;VTA X MAYOR OTROS PROD.
USOA S.R.L.;USOA S.R.L.IMPORT EXPORT;0;
GEODATUM S.A.DE C.V.;GEODATUM S.A. DE C.V.;74212;SERV DE INGENIERÍA
OPTITECH BOLIVIA SRL;OPTITECH BOLIVIA SRL;74990;OTROS SERV EMPRESARIALES NCP
IC INFRAESTRUCTURA S.A.S. SUCURSAL BOLI;IC INFRAESTRUCTURA S.A.S. SUCURSAL BOLIVIA;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
EMPRESA MINERA YURAJ KORI S.R.L.;EMPRESA MINERA YURAJ KORI S.R.L.;14212;EXTRACCIÓN MINERALES P/FABRICN.PROD.QUÍM
TECAP GLOBAL SOLUTIONS;TECAP GLOBAL SOLUTIONS S. R. L.;74212;SERV DE INGENIERÍA
CATOCAN S.R.L.;CATOCAN S.R.L.;50300;VENTA PARTES Y ACCESORIOS VEHÍCULOS AUTO
INTERRA DE ARANA COBARRUBIAS PRIMITIVO;INTERRA DE ARANA COBARRUBIAS PRIMITIVO;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
IMAGENDIGITALBOLIVIA DE EDWIN PILLCO RIO;IMAGENDIGITALBOLIVIA DE EDWIN PILLCO RIOS;22210;ACT. DE IMPRESIÓN
COVAPAL S.R.L.;COVAPAL S.R.L.;26920;FABRICN.  DE PROD. DE CERÁMICA REFRACTAR
AGAL SERVICIOS LOGISTICOS DE ALVAREZ ROD;AGAL SERVICIOS LOGISTICOS DE ALVAREZ RODRIGUEZ ANA FATIMA;63090;SERV.APOYO Y LOGÍSTICA AG DE TRANSPORTE
EXPORTACIONES IMPORTACIONES ALWANKIRINA;EXPORTACIONES IMPORTACIONES ALWANKIRINAKA S.R.L.;18101;FABRICN. PRENDAS VESTIR CONFECCIONADAS,
WORLDMOVING S.R.L.;WORLDMOVING S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
ALVIAL DE CHACHAQUI FLORES LUIS FERNANDO;ALVIAL DE CHACHAQUI FLORES LUIS FERNANDO;28110;FABRICN. PROD.METÁLICOS PARA USO ESTRUCT
NANIX CONSTRUCTORA S.R.L.;NANIX CONSTRUCTORA S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
QUIEROTENGO LTDA;QUIEROTENGO LTDA;72200;SERV CONSULTORES INFORMÁTICA Y SUMINISTR
SEMEAR GROUP S.R.L.;SEMEAR GROUP S.R.L.;51211;VTA X MAYOR MAT PRIMA AGROPECUARIAS Y DE
INTEC S.A.SUC.BOLIVIA;INGENIEROS CONSULTORES DE ESTUDIOS Y PROYECTOS SA SUC BOLIVIA;74212;SERV DE INGENIERÍA
EDUCANOVA SRL;EDUCANOVA SRL;80303;EDUCACIÓN SUPERIOR,ESPECIALIZACIÓN, POST
SOCALIM S.R.L.;SOCALIM S.R.L.;55209;OTROS SERV DE EXPENDIO DE COMIDAS NCP.
VASTII IMPORTACIONES DE CARLA DANIELA CA;VASTII IMPORTACIONES DE CARLA DANIELA CALLE UZEDA;52342;VTA X MENOR ART.FERRETERÍA, CALEFACCIÓN
TIVIVI S.R.L.;TIVIVI S.R.L.;60230;SERV. TRANSPORTE AUTOMOTOR CARGA X CARRE
INGENIERIA Y CONSTRUCCION SEBASTIAN;INGENIERIA Y CONSTRUCCION SEBASTIAN PAGADOR INCOSEP S.R.L.;45209;CONSTRUCCION DE OBRAS DE INGENIERIA CIVI
GLACOM & CSMA;GLACOM & CSMA;0;
UNIQUE APARTMENTS S.R.L.;UNIQUE APARTMENTS S.R.L.;45201;CONSTRUCCIÓN Y REPARACIÓN DE EDIFICIOS
SIROSHOP S.R.L.;SIROSHOP S.R.L.;18102;FABRICN. ROPA DE TRABAJO, UNIFORMES Y GU
PATRIMONIO AUTONOMO BISA ST FUBODE IFD;PATRIMONIO AUTONOMO BISA ST FUBODE IFD;65110;SERV DE LA BANCA CENTRAL
